family,style,file_path,japanese_candidate,recommended_for_aozoratex,latex_name,latex_command
IPAexMincho,Regular,C:/texlive/2026/texmf-dist/fonts/truetype/public/ipaex/ipaexm.ttf,true,true,IPAexMincho,\setmainjfont{IPAexMincho}
IPAexMincho,Regular,C:/WINDOWS/fonts/ipaexm.ttf,true,true,IPAexMincho,\setmainjfont{IPAexMincho}
IPAMincho,Regular,C:/WINDOWS/fonts/ipam.ttf,true,true,IPAMincho,\setmainjfont{IPAMincho}
IPAMincho,Regular,C:/WINDOWS/fonts/ipam.ttc,true,true,IPAMincho,\setmainjfont{IPAMincho}
IPAMincho,Regular,C:/texlive/2026/texmf-dist/fonts/truetype/public/ipaex/ipam.ttf,true,true,IPAMincho,\setmainjfont{IPAMincho}
IPAmjMincho,Regular,C:/WINDOWS/fonts/ipamjm.ttf,true,true,IPAmjMincho,\setmainjfont{IPAmjMincho}
Source Han Serif,Regular,C:/WINDOWS/fonts/SourceHanSerif-Regular.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Regular,C:/WINDOWS/fonts/SourceHanSerif-Regular.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Medium,C:/WINDOWS/fonts/SourceHanSerif-Medium.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Medium,C:/WINDOWS/fonts/SourceHanSerif-Medium.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,SemiBold,C:/WINDOWS/fonts/SourceHanSerif-SemiBold.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,SemiBold,C:/WINDOWS/fonts/SourceHanSerif-SemiBold.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Bold,C:/WINDOWS/fonts/SourceHanSerif-Bold.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Bold,C:/WINDOWS/fonts/SourceHanSerif-Bold.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Heavy,C:/WINDOWS/fonts/SourceHanSerif-Heavy.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Heavy,C:/WINDOWS/fonts/SourceHanSerif-Heavy.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Light,C:/WINDOWS/fonts/SourceHanSerif-Light.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,Light,C:/WINDOWS/fonts/SourceHanSerif-Light.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,ExtraLight,C:/WINDOWS/fonts/SourceHanSerif-ExtraLight.otf,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif,ExtraLight,C:/WINDOWS/fonts/SourceHanSerif-ExtraLight.ttc,true,true,Source Han Serif,\setmainjfont{Source Han Serif}
Source Han Serif CN,Regular,C:/WINDOWS/fonts/SourceHanSerifCN-Regular.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,Medium,C:/WINDOWS/fonts/SourceHanSerifCN-Medium.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,SemiBold,C:/WINDOWS/fonts/SourceHanSerifCN-SemiBold.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,Bold,C:/WINDOWS/fonts/SourceHanSerifCN-Bold.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,Heavy,C:/WINDOWS/fonts/SourceHanSerifCN-Heavy.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,Light,C:/WINDOWS/fonts/SourceHanSerifCN-Light.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif CN,ExtraLight,C:/WINDOWS/fonts/SourceHanSerifCN-ExtraLight.otf,true,true,Source Han Serif CN,\setmainjfont{Source Han Serif CN}
Source Han Serif JP,Regular,C:/WINDOWS/fonts/SourceHanSerifJP-Regular.otf,true,true,Source Han Serif JP,\setmainjfont{Source Han Serif JP}
